ID,Tweet,Replies,Retweets,Likes,Bookmarks,Views,Username,PostDate,Timestamp,Category
1860300896955171164,ความจริงคือไม่มีใครให้เด็กจบใหม่มาฝึกงานในตำแหน่ง senior supervisor CEO ใดๆที่มีผลต่ออนาคตของเด็กนะคะ จะฝึกฝนเก็บปสก.ใดๆก็ลองทำในวงในค่ายดูก่อนเนอะ อยู่ๆมาเป็น director รายการทั้งๆที่ประสบการณ์ 0 อันนี้เหมือนเด็กเส้นรึป่าว? แล้วสมควรมาฝึกงานในรายการที่เกี่ยวกับอนาคตเด็กหรอคะ?,0,16,8,0,674,ppinnto_,2024-11-23 12:34:31,2024-11-28 20:41:26,อนาคตใหม่
1859859911192216018,"⠀
⠀⠀⠀⠀ในอนาคต ถ้าไม่มีอาร์ตใหม่ ๆ ของฉันแล้วก็ไม่เป็นไร . . เพราะอะไรน่ะเหรอ ?

⠀⠀⠀⠀# ฝันเป็นจริง # ฝันให้ไกลไปให้ถึง # ไอดอล # ก็อตซิลล่า
⠀⠀⠀⠀",2,54,65,1,1370,iwaizumace04,2024-11-22 07:22:12,2024-11-28 20:41:26,อนาคตใหม่
1861052619588030583,"ในการเลือกตั้งอบจล่าสุดเพื่อไทยนำห่างส้มมากขึ้น ดูยังไงส้มก็ไม่ควรดีใจนะ  

ยิ่งบอกว่าพทไม่มีผลงาน แถมส้มขนคนมาปราศัยจัดเต็ม 2 รอบ ทั้งรุ่นอนาคตใหม่ ก้าวไกล และปชช เพื่อไทยยังทิ้งห่างคุณไปอีก อาการหนักแล้วส้มส้ม",0,0,6,0,240,ShibaLavayou,2024-11-25 14:21:35,2024-11-28 20:41:26,อนาคตใหม่
1861667060402790742,"ขอฝากเอ็นดูคู่ อุ๋งๆๆ  JM 
ไว้ในอ้อนอกอ้อมใจของทุกคนด้วยนะคะน่ารักกันมากๆเลย 
ทั้ง 2 คน  เป็นซัพพอร์ตโรล(คู่รอง) เรื่อง คุณวาฬร้านชำ Whale Store xoxo โปรเจคซีรี่ย์ 2025  ฝากเอ็นดูทั้งสองคนด้วยนะคะ  
อนาคตคู่หลักใหม่ เจ้มทีวี2026  มีแฮทแท็กคู่ #.จูนมิวนิค",0,16,30,1,1236,film_fmphoto,2024-11-27 07:03:09,2024-11-28 20:41:26,อนาคตใหม่
1861832793535422694,"เมื่อพี่มายอยากรู้ว่าตัวเองเป็นอะไรบ้าง มีกี่ร่าง ในอนาคตอันใกล้หนูเชื่อว่าพี่มายต้องมีร่างใหม่อีกแน่นอน!!5555555

MILE GQ ENTERTAINER OF THE YEAR

#GQMOTY2024xMILEJES
@milephakphum
 #MilePhakphum",0,15,10,0,520,i_DAW_,2024-11-27 18:01:43,2024-11-28 20:41:26,อนาคตใหม่
1857232569076728247,"เพราะเราเชื่อว่าคุณภาพชีวิตแบบโลกที่หนึ่ง เกิดได้ทุกที่ในเมืองไทย ถ้ามีท้องถิ่นที่มีประสิทธิภาพ

18 พฤศจิกายนนี้ เวลา 10.30 น. ณ อาคารอนาคตใหม่ เชิญชวนทุกท่านร่วมติดตามการเปิดตัวผู้สมัครนายก อบจ. พรรคประชาชน พร้อมชุดนโยบาย 5 ด้าน",53,1298,2415,12,42118,PPLEThai,2024-11-15 01:22:04,2024-11-28 20:41:26,อนาคตใหม่
1860685554284683693,"‘วิกฤติเด็กไทย’ ปัญหาอนาคตชาติ พัฒนาการภาษาช้า-สุขภาพจิตน่าห่วง อัตราเกิดใหม่น้อย อาจทำ GDP โตไม่ถึง 2%

5 ทศวรรษที่ผ่านมา ระดับเจริญพันธุ์ หรือการเกิดลดลงอย่างรวดเร็ว โดยอัตราเจริญพันธุ์รวม (Total Fertility Rate :TFR) หรือจำนวนบุตรโดยเฉลี่ยที่ผู้หญิง 1 คนจะมีตลอดวัยเจริญพันธุ์",1,39,29,2,4998,ktnewsonline,2024-11-24 14:03:00,2024-11-28 20:41:26,อนาคตใหม่
1861653063087636873,ทุกวันนี้เด็กเดใหม่กันเยอะ วงเกิดใหม่ตลอด แต่อาชีพไอดอลมันไม่มั่นคงเลย การจะเป็นวงที่ประสบความสำเร็จได้ ค่ายคือปัจจัยสำคัญมากๆ ต่อให้มีความสามารถแค่ไหน แต่ไปอยู่ค่ายที่ดองเก่ง ไม่ได้มองอนาคตแบบเดียวกัน สุดท้ายก็อาจจะรู้สึกเสียดายเปล่าๆ,0,38,26,2,1950,bamFF66798867,2024-11-27 06:07:32,2024-11-28 20:41:26,อนาคตใหม่
1860664809244459232,"ผลจะเป็นอย่างไรก็จะไม่โทษใครค่ะ ทุกคนเต็มที่+ตื่นตัวกับการเลือกตั้งครั้งนี้มากๆ สู้กันสุดใจ 

ครั้งนี้มีแค่ชนะกับพัฒนา เราเดินกันมาไกลมากๆ แล้วตั้งแต่อนาคตใหม่ ถ้าถึงเส้นชัยก็พร้อมจะฉลอง แต่ถ้ายังก็เดินต่อค่ะ

#เลือกตั้งนายกอบจอุดรธานี 
#เลือกตั้งนายกอบจ 
#เลือกตั้งนายกอบจอุดร",1,10,9,0,2740,summer6475288,2024-11-24 12:40:34,2024-11-28 20:41:26,อนาคตใหม่
1859487750787039361,"นี่สินะความแมส พรรคที่เกิดขึ้นในช่วงหลังๆ ที่เป็นข่าว ในชื่อมักจะมีคำว่า ก้าว, ใหม่, อนาคต
ส่วนสัญลักษณ์ CI ต่างๆ จะมีความเป็นสามเหลี่ยมไม่ก็ใช้สีส้ม",15,819,384,7,58223,UUUPPP11,2024-11-21 06:43:22,2024-11-28 20:41:26,อนาคตใหม่
1861747930392301814,"ผมก็ไม่ให้ค่าข้อมูลเท็จของคุณเช่นกันครับ 
.
ชื่อหลักสูตรนี้คือ
.
หลักสูตรการป้องกันราชอาณาจักร สำหรับ #ผู้บริหารแห่งอนาคต (วปอ.บอ.) รุ่นที่๑
.
วปอ. #ต้องการแนวร่วมจาก ผู้บริหารในอนาคต เจนใหม่  ต้องการส่งเสริมให้มีความรู้ด้านการเมืองความมั่นคง
.
สมัคร 500 สัมภาษณ์เหลือ 200 โปร่งใส",1,1,2,0,557,boling55556,2024-11-27 12:24:30,2024-11-28 20:41:26,อนาคตใหม่
1861438721196949835,อนาคตใหม่ ไม่นึกเลยเลียนแบบsocial demที่ทำลายเมกา ยุโรปย่อยยับ เลือกพรรคคุณไม่ลงอ่ะ บอกเลย,1,1,17,0,634,kookaburra555,2024-11-26 15:55:49,2024-11-28 20:41:26,อนาคตใหม่
1859065007029563864,ตอนเป็นอนาคตใหม่ใครขออะไรทักษิณช่วยทำอะไรให้บ้าง  ให้ทักษิณช่วยเป็นตัวกลางเชื่อมให้ติดต่อกับใครอะไรยังไงบ้าง เรื่องสนุกๆทั้งนั้น,0,3,6,0,111,off_patara,2024-11-20 02:43:32,2024-11-28 20:41:26,อนาคตใหม่
