ID,Tweet,Replies,Retweets,Likes,Bookmarks,Views,PostDate,Timestamp
gkf1142pnnf,"ดูบอลสด ถ่ายทอดสด ฟุตบอล รีโว่ คัพ เกษตรศาสตร์ VS ทรู แบงค็อก
#ดูบอลสด
#ลิ้งค์ดูบอลสด
#ตารางดูบอลสด
#ฟุตบอลรีโว่คัพ
#เกษตรศาสตร์
#ทรูแบงค็อกยูไนเต็ด",0,0,2,0,547,2024-10-30 08:38:04,2024-11-26 01:09:33
esb6ada2ug,"รบกวนช่วยรีหน่อยค่ะ
เวลาประมาณ 23.40 น. ใครที่ขับรถผ่านบริเวณสะพานข้ามแยกเกษตรฝั่งขาออก (ฝั่งม.เกษตร) แล้วพบเห็นอุบัติเหตุรถปิ๊กอัพชนรถจักรยานยนต์ รบกวนติดต่อเรามาหน่อยได้มั้ยคะ พอดีผู้ประสบเหตุเป็นพี่ชายเรา คนขับชนแล้วหนีค่ะ #อุบัติเหตุ #รถชน #เกษตรบางเขน #เกษตรศาสตร์",1,38,2,0,2956,2023-05-21 18:13:30,2024-11-26 01:09:33
dmj21hs24kk,"วันนี้ 2 กุมภาพันธ์ #ครบรอบ81ปี #เกษตรศาสตร์ 
ข้าพระพุทธเจ้า ในนามนิสิตเก่า KU
น้อมรำลึกในพระมหากรุณาธิคุณ 
-----------
2 กุมภาพันธ์ พ.ศ. 2486 
สถาปนามหาวิทยาลัยเกษตรศาสตร์",0,1,2,0,248,2024-02-02 15:57:59,2024-11-26 01:09:33
nypfbw923bo,"มหาวิทยาลัยเกษตรศาสตร์ ขอแสดงความยินดีกับบัณฑิตและครอบครัว
ขอมอบสิ่งดี ๆ จากใจในวันซ้อมย่อยซ้อมใหญ่ 
วันที่ 2 - 5 ตุลาคม 2567 แก่บัณฑิตใหม่ทุกคน
เพราะทุกคนคือ พลังของเคยูที่เราภาคภูมิใจ
#ปริญญา2566 #Kasetsart #เกษตรศาสตร์ #ku #congratulations #มก",1,8,9,0,1345,2024-10-02 00:40:52,2024-11-26 01:09:33
v0ud6b34d6p,"ใครไป #ลอยกระทง ที่ #เกษตรศาสตร์ #KU มีมาเฟียมาเก็บเงินค่าจอดรถบนฟุตบาท หรือไม่ครับ?

ปล. ปกติเขาไม่ให้จอด แต่วันนี้จนท.อถลุ่มอล่วยให้จอด เพราะไม่มีที่จอดจริงๆ แต่ไม่มีนโยบายให้เก็บเงินครับ",5,119,137,2,9112,2024-11-15 15:07:14,2024-11-26 01:09:33
xh53nexrtp,"“ม.เกษตร” ต่อยอดหลักสูตร “KU CARE” รุ่น2  ยกระดับผู้บริหารระดับสูงขององค์กร สู่มาตรฐานอย่างยั่งยืน  https://energynewscenter.com/%e0%b8%a1-%e0%b9%80%e0%b8%81%e0%b8%a9%e0%b8%95%e0%b8%a3-%e0%b8%95%e0%b9%88%e0%b8%ad%e0%b8%a2%e0%b8%ad%e0%b8%94%e0%b8%ab%e0%b8%a5%e0%b8%b1%e0%b8%81%e0%b8%aa%e0%b8%b9%e0%b8%95%e0%b8%a3-ku-care/… ผ่าน 
@EnergyNewsCent1
#KU Care #เกษตรศาสตร์ #เคยู แคร์ #นโยบายสีเขียว #ธุรกิจ #ความยั่งยืน #เน็ต ซีโร่",0,0,1,0,167,2024-06-02 05:38:43,2024-11-26 01:09:33
278sbvbjbzk,"Kaset X บางบัวร่วมใจพัฒนา (สะพานไม้2) X สส.แบงค์

ร่วมทำ CSR Workshop ระหว่างนักศึกษาปี1 คณะสถาปัตย์ ม. #เกษตรศาสตร์ (IPDI) กับ ชุมชนบางบัวร่วมใจพัฒนา #สะพานไม้2 #เขตหลักสี่  

โดย เป้าหมายคือให้นิสิต สมาชิกชุมชน และเยาวชน แชร์ความรู้ และหาภาพจำให้ชุมชนจากผลิตภัณฑ์(ที่มีอยู่แล้ว)",14,474,1001,5,42155,2024-01-30 04:34:01,2024-11-26 01:11:30
vf9661y5lgc,"พิธีพระราชทานปริญญาบัตร #มหาวิทยาลัยเกษตรศาสตร์ ประจำปีการศึกษา 2566 ในวันที่ 8-10 ตุลาคม 2567 

นายเกษม วัฒนชัย องคมนตรี จะเป็นผู้แทนพระองค์ ไปมอบปริญญาบัตรให้แก่บัณฑิต #เกษตรศาสตร์",1,0,0,0,362,2024-10-08 06:09:32,2024-11-26 01:11:30
ba4rsgs4e4f,"การประชุมทางวิชาการ มหาวิทยาลัยเกษตรศาสตร์ ครั้งที่ 63
วันที่ 4 - 6 มีนาคม 2568
ภายใต้ธีม ""ปัญญาประดิษฐ์สู่การใช้ประโยชน์และการพัฒนาอย่างยั่งยืน""

#ประชุมวิชาการมหาวิทยาลัยเกษตรศาสตร์ #มหาวิทยาลัย #เกษตรศาสตร์ #มก #kasetsart #ku",0,2,4,0,783,2024-11-14 02:52:46,2024-11-26 01:11:30
2am52zubptd,สนามแรกของนักเรียน นักศึกษา #KU #เกษตรศาสตร์ #ม็อบ21กรกฎา66,3,364,514,0,19392,2023-07-21 11:23:37,2024-11-26 01:11:30
qmnv7kjwrmk," คณะเกษตรศาสตร์ vs คณะวนศาสตร์ ต่างกันยังไง มาดูกันเลย!
.
 คณะเกษตรศาสตร์ เน้นเรียนเกี่ยวกับการเกษตร พืชประเภทต่าง ๆ
 ส่วนคณะวนศาสตร์ จะเรียนเกี่ยวกับป่าไม้และทรัพยากรธรรมชาติ
.
#TCASter #Dek68 #Dek69 #คณะเกษตรศาสตร์ #คณะเกษตร #คณะวนศาสตร์ #วนศาสตร์ #เกษตรศาสตร์ #กรมป่าไม้",0,10,10,1,2845,2024-06-06 07:56:07,2024-11-26 01:11:30
3oddx2q0qe3," เช็กด่วนน! คุณสมบัติรอบพอร์ตโครงการช้างเผือก ม.เกษตร
เปิดรับเยอะมากก กว่า 1,500 ที่นั่ง 
เปิดรับสมัครตั้งแต่ 15 ต.ค.–15 พ.ย. 67
เช็กคุณสมบัติของแต่ละสาขาที่โพสต์นี้เลย

#TCASter #Mytcas #TCAS67 #TCAS68 #DEK68 #dek69 #KU #เกษตรศาสตร์ #มหาวิทยาลัย #มหาวิทยาลัยเกษตร #สอบติดมหาลัย",1,5,30,11,3227,2024-10-08 09:26:57,2024-11-26 01:11:30
g6ifc8oyka7,"3 วันสุดท้ายก่อนปิดรับสมัคร!!
อย่าพลาดงานวิ่งดีๆ แบบนี้ แล้วพบกัน KU Run 4สมัครกันเต๊อะ อยากเจอ

ย้ำ!! สมัครได้ที่ : https://alumni.ku.ac.th/kurun4
หรือสแกน QR Code ในโปสเตอร์
.
#KURUN4 #เกษตรศาสตร์ #kasetsart #university #run #exercise #donation #โรงพยาบาลมหาวิทยาลัยเกษตรศาสตร์",0,0,0,0,338,2024-11-15 05:09:27,2024-11-26 01:11:30
8pmg6yoj43n,ฝากรีหน่อยค่ะ #ลอยกระทง #เกษตรศาสตร์,0,1,4,0,223,2024-11-14 15:05:15,2024-11-26 01:11:30
